Назва,Стан,Категорія,Місцезнаходження,Переможець,"Номер лота","Стартова ціна","Ціна продажу"
"Кришки люків ","Реєстрація учасників",Брухт,"Дніпропетровська обл.",,418808,390.00,
"Електроні ваги","Реєстрація учасників",Інше,"Дніпропетровська обл.",,418798,17.20,
"DVD плеєр марки LG DGK 684Xс","Реєстрація учасників","ТВ, Фото, Відео, Аудіо","Дніпропетровська обл.",,418822,386.66,
"Земельна ділянка, площею 0,0359 га, кадастровий номер: 2124881200:04:065:0011, що знаходиться за адресою: Закарпатська обл., Ужгородський р-н., Великолазівська с/р.","Реєстрація учасників","Земельні ділянки","Закарпатська обл.",,418775,42460.00,
"Мобільний телефон ""Samsung""","Реєстрація учасників","Мобільні телефони","Дніпропетровська обл.",,418733,145.33,
"Мобільний телефон Samsung model SGH-X160, червоного кольору —1 шт. (б\в).","Реєстрація учасників","Мобільні телефони","Луганська обл.",,418834,56.25,
"Мобільний телефон Nokia model 230 RM-1172 Dual Sim Dark Silver в корпусі чорного кольору —1 шт. (б\в)","Реєстрація учасників","Мобільні телефони","Луганська обл.",,418835,512.50,
"Мобільний телефон Samsung model GT-S5660, білого кольору —1 шт. (б\в) ","Реєстрація учасників","Мобільні телефони","Луганська обл.",,418836,277.50,
"Дзеркало в дерев’яній рамці з підсвіткою","Реєстрація учасників",Декор,"Івано-Франківська обл.",,416559,15000.00,
" Мобільний телефон ""Nokia"",   Мобільний телефон ""Nokia"",  Мобільний телефон ""Nokia"", Мобільний телефон ""Samsung"", Мобільний телефон ""Fly"",  Мобільний телефон ""Nokia"", Мобільний телефон ""Huawei"",Мобільний телефон ""Huawei"" ","Реєстрація учасників","Мобільні телефони","Дніпропетровська обл.",,418825,1334.18,
"Підсвітка-декор для оформлення весільного залу","Реєстрація учасників",Декор,"Івано-Франківська обл.",,416560,5000.00,
"Електроні ваги","Реєстрація учасників",Інше,"Дніпропетровська обл.",,418817,176.67,
"Керамічні чашки","Реєстрація учасників","Господарчі товари","Дніпропетровська обл.",,418829,197.40,
"Книга ""Повість полум'яних літ""","Реєстрація учасників",Книги,"Дніпропетровська обл.",,418837,39.33,
"1/4 частина земельної ділянки, площею 0.2000 га, кадастровий номер 6522384300:02:060:0016,  що розташована за адресою: Херсонська область, Голопристанський район, с. Залізний Порт, вулиця Шкільна № 63/1;2","Реєстрація учасників","Земельні ділянки",м.Київ,,418802,1457749.25,
"1/4 частина земельної ділянки, площею 0.2000 га, кадастровий номер 6522384300:02:060:0016,  що розташована за адресою: Херсонська область, Голопристанський район, с. Залізний Порт, вулиця Шкільна № 63/1;2","Реєстрація учасників","Земельні ділянки",м.Київ,,418826,1457749.25,
"1/4 частина земельної ділянки, площею 0.2000 га, кадастровий номер 6522384300:02:060:0016,  що розташована за адресою: Херсонська область, Голопристанський район, с. Залізний Порт, вулиця Шкільна № 63/1;2","Реєстрація учасників","Земельні ділянки",м.Київ,,418833,1457749.25,
"Мобільний телефон ""LG GD510""  ІМЕІ: 3559929-03-952294-8","Реєстрація учасників","Мобільні телефони","Хмельницька обл.",,418852,15.00,
"Мобільний телефон ""Нокіа С3-00"" ІМЕІ:355966/04/944179/6","Реєстрація учасників","Мобільні телефони","Хмельницька обл.",,418855,15.00,
"Мобільний телефон ""Самсунг"" без ІМЕІ","Реєстрація учасників","Мобільні телефони","Хмельницька обл.",,418858,15.00,
"Мобільний телефон ""Алкатель"" без ІМЕІ","Реєстрація учасників","Мобільні телефони","Хмельницька обл.",,418863,15.00,
"1/3 частина двокімнатної квартири № 69, загальною площею 44,8 кв.м., що розташована за адресою: м. Київ, вул. Якіра  (Древлянська) 17-А","Реєстрація учасників","Житлова нерухомість",м.Київ,,416814,329800.00,
"1/3 частина двокімнатної квартири № 69, загальною площею 44,8 кв.м., що розташована за адресою: м. Київ, вул. Якіра (Древлянська) 17-А","Реєстрація учасників","Житлова нерухомість",м.Київ,,418690,329800.00,
"Трактор гусеничний Бульдозер ДТ-75, 1985 року випуску","Реєстрація учасників",Спецтехніка,"Дніпропетровська обл.",,418876,3470.00,
"Земельна ділянка, площею 0,9907 га, кадастровий номер 4820983900:09:000:0343, яка розташована за адресою : Миколаївська область, Березанський район, Рибаківська сільська рада","Реєстрація учасників","Земельні ділянки","Одеська обл.",,418830,162106.00,
"Добровільний продаж. Декоративні вазони в горщиках, виробник - компанія EDCO, Голландія","Реєстрація учасників",Декор,"Житомирська обл.",,418850,22500.00,
"Добровільний продаж. Візитниця на 120 карт у кількості 150 штук","Реєстрація учасників",Аксесуари,"Житомирська обл.",,418861,9000.00,
"ІПОТЕКА. Земельна ділянка, загальною площею 0.15 га, кадастровий номер 5121080300:02:001:0259, за адресою: Одеська область, Біляївський район, с. Августівка, вул. Заречна, 32","Реєстрація учасників","Земельні ділянки","Одеська обл.",,418879,143646.40,
"ІПОТЕКА. Земельна ділянка загальною площею 0.10 га, К/Н: 5122786400:01:001:0887, що знаходиться за адресою: Одеська обл., Лиманський район, Фонтанська сільська рада","Реєстрація учасників","Земельні ділянки","Одеська обл.",,418880,45624.00,
"Земельна ділянка, площею 0,9956 га, кадастровий номер 4820983900:09:000:0356, яка розташована за адресою : Миколаївська область, Березанський район, Рибаківська сільська рада","Реєстрація учасників","Земельні ділянки","Одеська обл.",,418842,162892.00,
"Брухт чорних металів","Реєстрація учасників",Брухт,"Дніпропетровська обл.",,418881,306.96,
"1/3 частина двокімнатної квартири, загальна площа 48,4 кв.м, за адресою: Дніпропетровська область, м. Дніпро, вул. Гомельська, буд. 55, кв. 139","Реєстрація учасників","Житлова нерухомість","Дніпропетровська обл.",,418884,107695.00,
"Добровільний продаж. Товари для саду і городу, виробник - компанія EDCO, Голландія","Реєстрація учасників","Сад і дім","Житомирська обл.",,418877,45000.00,
"Коток зубчато-кільчатий КЗК-6-01, 2016 р.в., серійний номер 2093","Реєстрація учасників",Сільгосптехніка,"Одеська обл.",,418843,60000.00,
"Коток зубчато-кільчатий КЗК-6-01, 2016 р.в., серійний номер 2094","Реєстрація учасників",Сільгосптехніка,"Одеська обл.",,418841,60000.00,
"Комп’ютерна мишка А4TECH чорного з сірим кольору в непрацюючому стані","Реєстрація учасників",Комплектуючі,"Дніпропетровська обл.",,418874,44.33,
"Мобільний телефон «Samsung», SGH-Е 740","Реєстрація учасників","Мобільні телефони","Херсонська обл.",,418857,10.00,
"Земельна ділянка, площею 0,9956 га, кадастровий номер 4820983900:09:000:0345, яка розташована за адресою: Миколаївська область, Березанський район, Рибаківська сільська рада","Реєстрація учасників","Земельні ділянки","Одеська обл.",,418848,162892.00,
"1/2 частини житлового будинку, загальною площею 434,7 кв.м. та 1/2 частини земельної ділянки, площею 0,0577 га, кадастровий номер 8000000000:90:125:0023, що знаходяться за адресою: м. Київ, вул. Передова 3","Реєстрація учасників","Житлова нерухомість",м.Київ,,418692,2506250.00,
"Бензопила марки GL4500M","Реєстрація учасників",Інструменти,"Херсонська обл.",,418883,100.00,
"Нежитлове приміщення першого поверху літ. А-9 загальною площею 252,2 кв.м. за адресою м. Запоріжжя, вул. Аваліані, буд. 5-А, прим. 165","Реєстрація учасників","Нежитлове приміщення","Запорізька обл.",,418840,665795.90,
Чайник,"Реєстрація учасників","Мала побутова техніка","Дніпропетровська обл.",,418896,137.50,
Клавіатура,"Реєстрація учасників",Комплектуючі,"Дніпропетровська обл.",,418897,83.75,
Клавіатура,"Реєстрація учасників",Комплектуючі,"Дніпропетровська обл.",,418898,130.00,
"Ручний міксер Domotec ms-1366 білого кольору ","Реєстрація учасників","Мала побутова техніка","Дніпропетровська обл.",,418872,165.43,
"Веб-камера фірми Logitech C-170","Реєстрація учасників","Аксесуари та інше","Дніпропетровська обл.",,418864,210.00,
"Електричний чайник Sanusy SN-2102 чорного кольору в непрацюючому стані","Реєстрація учасників","Мала побутова техніка","Дніпропетровська обл.",,418860,56.00,
"Ручний подрібнювач Slap Chop чорно білого кольору в працюючому стані","Реєстрація учасників","Мала побутова техніка","Дніпропетровська обл.",,418856,35.00,
"Книга ""Розгадані таємниці""","Реєстрація учасників",Книги,"Дніпропетровська обл.",,418853,39.33,
"ТЗ марки SKODA, модель SUPERB 1.8T, 2006 року випуску, кузов № TMBDL23UX7B300873, ДНЗ АО7017АН, сірого кольору","Реєстрація учасників","Легкові автомобілі","Закарпатська обл.",,418963,58695.00,
"Предмет іпотеки. Трикімнатна квартира загальною площею 62,27 кв.м., житловою площею 44,80 кв.м. за адресою: Житомирська обл., м. Житомир, вул. Гагаріна, 42, кв. 7","Реєстрація учасників","Житлова нерухомість","Житомирська обл.",,418964,410882.40,
"Предмет іпотеки. Житловий будинок заг. пл. 356,4 кв.м. та земельна ділянка площею 0,0275 га, кадастровий № 5910136300:04:013:0006, що знаходиться за адресою: м. Суми, вул. Зої Космодем'янської, буд.3-а, кв. 3","Реєстрація учасників","Житлова нерухомість","Сумська обл.",,418965,2743200.00,
"Чоловічий подарунковий набір ""Agressia""","Реєстрація учасників",Інше,"Дніпропетровська обл.",,418962,76.10,
"Телефонна система складається з двох телефонів, а саме: телефон Panasonic KX-TCD530RUT, телефонна трубка із базою Panasonic PQLV30018ZAT","Реєстрація учасників","Стаціонарні телефони","Тернопільська обл.",,418967,325.00,
"Мобільний телефон Nokia, чорного кольору, IMEI 359838011265816, сім карта мобільного оператора МТС, № +380953355800","Реєстрація учасників","Мобільні телефони","Тернопільська обл.",,418968,70.00,
"Чоловічий антиперспирант фірми ""GILLETTE""","Реєстрація учасників",Інше,"Дніпропетровська обл.",,418971,49.33,
"ІПОТЕКА. Земельна ділянка, загальною площею 0.2432 га, кадастровий № 2124886900:11:010:0015, що знаходиться за адресою: Закарпатська область, село Тийглаш, вулиця Сент Іштвана, 35","Реєстрація учасників","Земельні ділянки","Закарпатська обл.",,418595,41562.88,
"Іпотека. Житловий будинок загал. площею 122,90 кв.м, житловою 62,40 кв.м з госп. будівлями і спорудами, земельна ділянка площею 0,25 га, КН 7320784000:01:001:0541, за адресою: Чернівецька обл., Герцаївський р-н, с.Остриця, вул.Новоселицька, 69","Реєстрація учасників","Житлова нерухомість","Чернівецька обл.",,418973,756548.00,
"Причіп ПП-2,8","Реєстрація учасників",Причепи,"Кіровоградська обл.",,418974,4350.00,
"Лопатка з подовженою ручкою -10шт.","Реєстрація учасників",Інше,"Кіровоградська обл.",,418975,220.00,
"Причіп ПП-2,8","Реєстрація учасників",Причепи,"Кіровоградська обл.",,418976,4350.00,
"Предмет Іпотеки. Земельна ділянка з кадастровим номером 7324582000:02:002:0330 площею 0,2500 га, за адресою  с. Кучурів, Сторожинецький район, Чернівецька область","Реєстрація учасників","Земельні ділянки","Чернівецька обл.",,418977,126315.00,
"Решітка розділова для вуликів типу лежак, металева-20шт.","Реєстрація учасників",Інше,"Кіровоградська обл.",,418978,900.00,
"Решітка розділова для вуликів типу лежак, металева-20шт.","Реєстрація учасників",Інше,"Кіровоградська обл.",,418979,900.00,
"Комп’ютерна мишка «SVEN»","Реєстрація учасників",Комплектуючі,"Дніпропетровська обл.",,418873,118.00,
"Решітка розділова для вуликів типу лежак, металева-20шт.","Реєстрація учасників",Інше,"Кіровоградська обл.",,418980,900.00,
"Решітка розділова для вуликів типу лежак, металева-20шт.","Реєстрація учасників",Інше,"Кіровоградська обл.",,418981,900.00,
"Універсальний чохол клавіатура ","Реєстрація учасників",Аксесуари,"Дніпропетровська обл.",,418847,89.55,
"Решітка розділова для вуликів типу лежак, металева-20шт.","Реєстрація учасників",Інше,"Кіровоградська обл.",,418982,900.00,
"ІПОТЕКА. Житловий будинок, загальною площею 180,5 кв.м. та земельна ділянка кадастровий номер 2124886900:11:010:0014, площею 0,0813 га, що знаходяться за адресою: Закарпатська область, Ужгородський р-н., с. Тийглаш, вул. Сент Іштвана, буд. 35","Реєстрація учасників","Житлова нерухомість","Закарпатська обл.",,418575,549600.00,
"Решітка розділова для вуликів типу лежак, металева-20шт.","Реєстрація учасників",Інше,"Кіровоградська обл.",,418983,900.00,
"Мультислайсер Kitchen Master салатового кольору в працюючому стані","Реєстрація учасників","Мала побутова техніка","Дніпропетровська обл.",,418868,182.00,
"Решітка розділова для вуликів типу лежак, металева-20шт.","Реєстрація учасників",Інше,"Кіровоградська обл.",,418984,900.00,
"Решітка розділова для вуликів типу лежак, металева-20шт.","Реєстрація учасників",Інше,"Кіровоградська обл.",,418985,900.00,
"Решітка розділова для вуликів типу лежак, металева-20шт.","Реєстрація учасників",Інше,"Кіровоградська обл.",,418986,900.00,
"Решітка розділова для вуликів типу лежак, металева-20шт.","Реєстрація учасників",Інше,"Кіровоградська обл.",,418988,900.00,
"Мобільний телефон «SIGMA»","Реєстрація учасників","Мобільні телефони","Дніпропетровська обл.",,418866,260.00,
"Решітка розділова для вуликів типу лежак, металева-20шт.","Реєстрація учасників",Інше,"Кіровоградська обл.",,418991,900.00,
"Фотоапарат ФЭД 5С","Реєстрація учасників","ТВ, Фото, Відео, Аудіо","Дніпропетровська обл.",,418845,113.33,
"Бензинова пила ""Мотор Січ 270""","Реєстрація учасників",Інструменти,"Кіровоградська обл.",,418993,1000.00,
"Кліточка Тітова для матки – 50шт.","Реєстрація учасників",Інше,"Кіровоградська обл.",,418997,1200.00,
"Домоволодіння, загальною площею 124.70 кв.м., що знаходиться за адресою: м. Одеса, вул. 8-го Березня, буд. 115","Реєстрація учасників","Житлова нерухомість","Одеська обл.",,418999,811758.50,
"Кліточка Тітова для матки – 50шт.","Реєстрація учасників",Інше,"Кіровоградська обл.",,419000,1200.00,
"Термос вакуумний об'ємом 1 літр","Реєстрація учасників","Господарчі товари","Дніпропетровська обл.",,418832,97.00,
Праска,"Реєстрація учасників","Мала побутова техніка","Дніпропетровська обл.",,418994,50.66,
"Пісок кварцовий - 12000 тонн","Реєстрація учасників",Інше,"Дніпропетровська обл.",,418824,5904000.00,
"Торгово-складський комплекс загальною площею 339,3 кв.м, за адресою: Одеська область, Березівський район, м. Березівка, вулиця Свято-Миколаївська, будинок 6","Реєстрація учасників","Нежитлове приміщення","Одеська обл.",,419002,216716.00,
"Кліточка Тітова для матки – 50шт.","Реєстрація учасників",Інше,"Кіровоградська обл.",,419004,1200.00,
"Легковий автомобіль марки ЗАЗ, модель 1105, державний номер 18596НР, 1994 року випуску, білого кольору, шасі (кузов, рама) №XTE110550R004315","Реєстрація учасників","Легкові автомобілі","Запорізька обл.",,419007,1350.00,
"Нежитлова будівля загальною площею 883.8 кв.м., за адресою: Одеська обл., м. Рені, вул. Дорога Дружби, буд. 1","Реєстрація учасників","Комерційна нерухомість","Одеська обл.",,419008,2191401.15,
"Скляні стакани у кількості 3 шт.","Реєстрація учасників","Господарчі товари","Сумська обл.",,418989,30.00,
"Пісок кварцовий - 600 тонн","Реєстрація учасників",Інше,"Дніпропетровська обл.",,418823,295200.00,
"Парасолька чорного кольору у кількості 1 шт.","Реєстрація учасників",Аксесуари,"Сумська обл.",,418990,25.00,
"DVD програвач TRIMAX у кількості 1 шт.","Реєстрація учасників","Аксесуари та інше","Сумська обл.",,418992,50.00,
"Датчик у кількості 1 шт.","Реєстрація учасників",Інше,"Сумська обл.",,418995,50.00,
"Машинка для набивки сигарет у кількості 1 шт.","Реєстрація учасників",Інше,"Сумська обл.",,418996,50.00,
"Лампа настільна у кількості 1 шт.","Реєстрація учасників",Декор,"Сумська обл.",,418998,50.00,
"Плоскогубці у кількості 1 шт.","Реєстрація учасників",Інструменти,"Сумська обл.",,419001,25.00,
"Пісок кварцовий - 55 тонн","Реєстрація учасників",Інше,"Дніпропетровська обл.",,418820,27060.00,
"Монітор SAMSUNG у кількості 1 шт.","Реєстрація учасників",Монітори,"Сумська обл.",,419003,500.00,
"Системний блок ZIP  у кількості 1 шт.","Реєстрація учасників",Комп'ютери,"Сумська обл.",,419005,350.00,
"Клавіатура у кількості 1 шт.","Реєстрація учасників",Аксесуари,"Сумська обл.",,419006,25.00,
"Кліточка Тітова для матки – 50шт.","Реєстрація учасників",Інше,"Кіровоградська обл.",,419010,1200.00,
"Мобільний телефон «NOKIA 1280» ","Реєстрація учасників","Мобільні телефони","Запорізька обл.",,419016,33.67,
"ІПОТЕКА: нежитлове приміщення загальною площею 33,3 м.кв., розташоване за адресою: Хмельницька область, м. Кам’янець-Подільський, вул. Героїв Небесної Сотні (колишня Червоноармійська), 36","Реєстрація учасників","Нежитлове приміщення","Хмельницька обл.",,419015,137488.80,
"Кліточка Тітова для матки – 50шт.","Реєстрація учасників",Інше,"Кіровоградська обл.",,419017,1200.00,
"Пристрій навощування проволоки -10шт.","Реєстрація учасників",Інше,"Кіровоградська обл.",,419022,1225.00,
"Мобільний телефон «CRTEL C800»","Реєстрація учасників","Мобільні телефони","Запорізька обл.",,419023,58.71,
"ІПОТЕКА: Однокімнатна квартира № 94, загальною площею 31,3 кв.м., за адресою: м. Одеса, вул. Святослава Ріхтера буд. 148 корп. 2","Реєстрація учасників","Житлова нерухомість","Одеська обл.",,419025,336076.30,
"Кліточка Тітова для матки – 50шт.","Реєстрація учасників",Інше,"Кіровоградська обл.",,419026,1200.00,
"Кліточка Тітова для матки – 50шт.","Реєстрація учасників",Інше,"Кіровоградська обл.",,419028,1200.00,
"Мобільний телефон «SAMSUNG GT-S5610» (SEK)","Реєстрація учасників","Мобільні телефони","Запорізька обл.",,419030,89.83,
"Кліточка Тітова для матки – 50шт.","Реєстрація учасників",Інше,"Кіровоградська обл.",,419031,1200.00,
"Ключ у кількості 1 шт.","Реєстрація учасників",Інструменти,"Сумська обл.",,419011,45.00,
"Пристрій навощування проволоки - 10 шт.","Реєстрація учасників",Інше,"Кіровоградська обл.",,419033,1225.00,
"Обігрівач COLORE, білого кольору у кількості 1 шт.","Реєстрація учасників","Кліматична  техніка","Сумська обл.",,419013,50.00,
"Подрібнювач причіпний ПТ-6, 2017 р.в., заводський номер 314","Реєстрація учасників",Сільгосптехніка,"Одеська обл.",,406788,60000.00,
"Зварювальний апарат у кількості 1 шт.","Реєстрація учасників",Інше,"Сумська обл.",,419018,2500.00,
"Мобільний телефон «NOKIA С2-05»","Реєстрація учасників","Мобільні телефони","Запорізька обл.",,419034,102.41,
"Кліточка Тітова для матки – 50шт.","Реєстрація учасників",Інше,"Кіровоградська обл.",,419036,1200.00,
"Ковпачки у кількості 200 шт.","Реєстрація учасників",Інше,"Сумська обл.",,419019,150.00,
"Фільтр очистки масла автомобільний у кількості 1 шт.","Реєстрація учасників",Запчастини/аксесуари,"Сумська обл.",,419020,50.00,
"ІПОТЕКА. Чотирикімнатна квартира, загальною площею 165,4 кв. м, за адресою: Одеська область, м. Чорноморськ, вул. Паркова, 44, кв. 89","Реєстрація учасників","Житлова нерухомість","Одеська обл.",,419037,1825850.40,
"Пилкозбірник (без коробочки)-50 шт.","Реєстрація учасників",Інше,"Кіровоградська обл.",,419038,1500.00,
"Втулка до автомобіля у кількості 1 шт.","Реєстрація учасників",Запчастини/аксесуари,"Сумська обл.",,419021,10.00,
"Прокладки до автомобіля Daewoo Lanos у кількості 11 шт.","Реєстрація учасників",Запчастини/аксесуари,"Сумська обл.",,419024,100.00,
"Пристрій навощування проволоки -10шт.","Реєстрація учасників",Інше,"Кіровоградська обл.",,419039,1225.00,
"Сокира у кількості 1шт.","Реєстрація учасників",Інструменти,"Сумська обл.",,419027,35.00,
"Мобільний телефон «NOKIA 311»","Реєстрація учасників","Мобільні телефони","Запорізька обл.",,419040,107.80,
"Домкрат у кількості 1 шт.","Реєстрація учасників",Запчастини/аксесуари,"Сумська обл.",,419029,200.00,
"Причіп Пасіка 8-10","Реєстрація учасників",Причепи,"Кіровоградська обл.",,419041,10215.00,
"Пристрій навощування проволоки -10шт.","Реєстрація учасників",Інше,"Кіровоградська обл.",,419042,1225.00,
"Домкрат у кількості 1 шт.","Реєстрація учасників",Запчастини/аксесуари,"Сумська обл.",,419032,200.00,
"Пилкозбірник (без коробочки)-50 шт.","Реєстрація учасників",Інше,"Кіровоградська обл.",,419043,1500.00,
"ІПОТЕКА. Земельна ділянка, загальною площею 0.15 га, кадастровий номер 5121080300:02:001:0131, за адресою: Одеська область, Біляївський район, с. Августівка, вул. Заречна, 5","Реєстрація учасників","Земельні ділянки","Одеська обл.",,419044,143646.40,
"Пилкозбірник (без коробочки)-50 шт.","Реєстрація учасників",Інше,"Кіровоградська обл.",,419045,1500.00,
"МР3-плеєр “Transcend” 4GB","Реєстрація учасників",Аудіотехніка,"Запорізька обл.",,419047,21.68,
"Подрібнювач причіпний ПТ-6, 2017 р.в., заводський номер 312","Реєстрація учасників",Сільгосптехніка,"Одеська обл.",,418891,60000.00,
"Пилкозбірник (без коробочки)-50 шт.","Реєстрація учасників",Інше,"Кіровоградська обл.",,419050,1500.00,
"Пилкозбірник (без коробочки)-50 шт.","Реєстрація учасників",Інше,"Кіровоградська обл.",,419051,1500.00,
"Причіп Пасіка 12-16","Реєстрація учасників",Причепи,"Кіровоградська обл.",,419054,17415.00,
"Пилкозбірник (без коробочки)-50 шт.","Реєстрація учасників",Інше,"Кіровоградська обл.",,419055,1500.00,
"Модем мобільного оператору «Київстар» «HUAWEI Mobile Broadbend E 153»","Реєстрація учасників",Аксесуари,"Запорізька обл.",,419057,109.88,
"Транспортний засіб ""ГАЗ 31105-12"", 2006 року випуску, ДНЗ СВ7738АС, № кузова: 31105060106149","Реєстрація учасників","Легкові автомобілі","Одеська обл.",,419059,23580.00,
"Димар чорний металевий-10шт.","Реєстрація учасників",Інше,"Кіровоградська обл.",,419060,490.00,
"Димар чорний металевий-10шт.","Реєстрація учасників",Інше,"Кіровоградська обл.",,419062,490.00,
"Димар чорний металевий-10шт.","Реєстрація учасників",Інше,"Кіровоградська обл.",,419065,490.00,
"Подрібнювач причіпний ПТ-6, 2017 р.в., заводський номер 307","Реєстрація учасників",Сільгосптехніка,"Одеська обл.",,418892,60000.00,
"Димар чорний металевий-10шт.","Реєстрація учасників",Інше,"Кіровоградська обл.",,419067,490.00,
"Молот у кількості 1 шт.","Реєстрація учасників",Інструменти,"Сумська обл.",,419046,75.00,
"Ключ у кількості 1 шт.","Реєстрація учасників",Інструменти,"Сумська обл.",,419049,35.00,
"Термос у кількості 1 шт.","Реєстрація учасників","Господарчі товари","Сумська обл.",,419052,25.00,
"Лопатка з бортиком -20шт.","Реєстрація учасників",Інше,"Кіровоградська обл.",,419068,740.00,
"Димар чорний металевий-10шт.","Реєстрація учасників",Інше,"Кіровоградська обл.",,419070,490.00,
"Житловий будинок загальною площею 25 кв.м. за адресою: Дніпропетровська область, Царичанський район, село Могилів, вулиця Дніпропетровська, буд. 99","Реєстрація учасників","Житлова нерухомість","Дніпропетровська обл.",,418421,28800.00,
"Паяльник у кількості 1 шт.","Реєстрація учасників",Інструменти,"Сумська обл.",,419053,25.00,
"Лупа у кількості 1 шт.","Реєстрація учасників",Інше,"Сумська обл.",,419056,25.00,
"Лопатка з бортиком -20шт.","Реєстрація учасників",Інше,"Кіровоградська обл.",,419071,740.00,
"Набір тарілок у кількості 6 шт.","Реєстрація учасників","Господарчі товари","Сумська обл.",,419058,50.00,
"Лопатка з бортиком -20шт.","Реєстрація учасників",Інше,"Кіровоградська обл.",,419072,740.00,
"Ліхтарь налобний, модель невідома, робочий стан невідомий, б/в, чорного кольору","Реєстрація учасників",Інше,"Сумська обл.",,419061,50.00,
"Бензопила GRUNHELM GS-62-18/2","Реєстрація учасників",Інструменти,"Сумська обл.",,419064,750.00,
"Брухт чорного металу загальною вагою 260 кг.","Реєстрація учасників",Брухт,"Сумська обл.",,419066,546.00,
"Лопатка з бортиком -20шт.","Реєстрація учасників",Інше,"Кіровоградська обл.",,419073,740.00,
"Лопатка з бортиком -20шт.","Реєстрація учасників",Інше,"Кіровоградська обл.",,419075,740.00,
"Решітка розділова для вуликів типу лежак, металева-20шт.","Реєстрація учасників",Інше,"Кіровоградська обл.",,419079,900.00,
"Решітка розділова для вуликів типу лежак, металева-20шт.","Реєстрація учасників",Інше,"Кіровоградська обл.",,419083,900.00,
"Решітка розділова для вуликів типу лежак, металева-20шт.","Реєстрація учасників",Інше,"Кіровоградська обл.",,419085,900.00,
"Решітка розділова для вуликів типу лежак, металева-20шт.","Реєстрація учасників",Інше,"Кіровоградська обл.",,419087,900.00,
"Решітка розділова для вуликів типу лежак, металева-20шт.","Реєстрація учасників",Інше,"Кіровоградська обл.",,419089,900.00,
"Решітка розділова для вуликів типу лежак, металева-20шт.","Реєстрація учасників",Інше,"Кіровоградська обл.",,419091,900.00,
"ІПОТЕКА. Земельна ділянка площею 0,10 га, кадастровий номер 5122786400:01:001:1791, що розташована за адресою: Одеська область, Лиманський район, Фонтанська сільська рада ","Реєстрація учасників","Земельні ділянки","Одеська обл.",,419093,62916.00,
"Лопатка з подовженою ручкою -10шт.","Реєстрація учасників",Інше,"Кіровоградська обл.",,419096,220.00,
"Крем-мило DOVE - 2 од.","Реєстрація учасників","Господарчі товари","Дніпропетровська обл.",,418402,40.80,
"Мобільний телефон марки “Samsung” SM-G531H з двома сім картами","Реєстрація учасників","Мобільні телефони","Хмельницька обл.",,419099,750.00,
"Лопатка з подовженою ручкою -10шт.","Реєстрація учасників",Інше,"Кіровоградська обл.",,419100,220.00,
"Лопатка з подовженою ручкою -10шт.","Реєстрація учасників",Інше,"Кіровоградська обл.",,419101,220.00,
"Пастка для ловлі матки -10шт.","Реєстрація учасників",Інше,"Кіровоградська обл.",,419103,365.00,
"Ізолятор однорамочний №1 – 5шт.","Реєстрація учасників",Інше,"Кіровоградська обл.",,419104,335.00,
"Флеш-карта марки “Apacer”моделі “Micro SD” (32 Gb)","Реєстрація учасників",Накопичувачі,"Хмельницька обл.",,419108,75.00,
"ІПОТЕКА. Земельна ділянка площею 0,10 га, кадастровий номер 5122786400:01:001:1824, що розташована за адресою: Одеська область, Лиманський район, Фонтанська сільська рада","Реєстрація учасників","Земельні ділянки","Одеська обл.",,419107,62916.00,
"Ваза керамічна","Реєстрація учасників","Господарчі товари","Дніпропетровська обл.",,417486,56.00,
"Ізолятор однорамочний №1 – 5шт.","Реєстрація учасників",Інше,"Кіровоградська обл.",,419109,335.00,
"Ізолятор однорамочний №1 – 5шт.","Реєстрація учасників",Інше,"Кіровоградська обл.",,419110,335.00,
"Телевізор LG Smart 32LF592U , TV тюнер UCLAN B6 Full HD ","Реєстрація учасників",Телевізори,"Житомирська обл.",,418961,2687.00,
"Пастка для ловлі матки -10шт.","Реєстрація учасників",Інше,"Кіровоградська обл.",,419111,365.00,
"Металеві ваги з серійним номером 7РП1Ш13М Н20893","Реєстрація учасників",Обладнання,"Кіровоградська обл.",,419112,350.00,
"Мотоцикл HONDA CBR600 F4i, VIN/номер шасі (кузова, рами): JH2PC35E33M403003, 2003 року випуску ","Реєстрація учасників",Мототранспорт,"Хмельницька обл.",,417304,55130.00,
"Пастка для ловлі матки -10шт.","Реєстрація учасників",Інше,"Кіровоградська обл.",,419114,365.00,
"Лопатка чорна металева -20шт.","Реєстрація учасників",Інше,"Кіровоградська обл.",,419116,430.00,
"Лопатка чорна металева -20шт.","Реєстрація учасників",Інше,"Кіровоградська обл.",,419120,430.00,
"Лопатка чорна металева -20шт.","Реєстрація учасників",Інше,"Кіровоградська обл.",,419122,430.00,
"Лопатка чорна металева -20шт.","Реєстрація учасників",Інше,"Кіровоградська обл.",,419124,430.00,
"Лопатка чорна металева -20шт.","Реєстрація учасників",Інше,"Кіровоградська обл.",,419125,430.00,
"ІПОТЕКА. Земельна діляна площею 0.10 га, кадастровий номер 5122783900:01:005:0055, що знаходиться за адресою: Одеська область, Лиманський район, Новодофінівська сільська рада","Реєстрація учасників","Земельні ділянки","Одеська обл.",,419127,63091.00,
"Димар чорний металевий-10шт.","Реєстрація учасників",Інше,"Кіровоградська обл.",,419130,490.00,
